Zamir,"Shukho, MBA",Venture Investor • Serial Entrepreneur • Expert in Corporate Innovations & Startups,,,2025-02-26T16:07:03.136750
Andrew,Blachman,Marketplace operator and investor,,,2025-02-26T16:07:03.167442
Balaji,S.,"Formerly CTO at Coinbase, GP a16z. Cofounder of Earn, Counsyl, Teleport, Coin Center. Angel Investor.",,,2025-02-26T16:07:03.198100
Felix,H.,Angel Investor and Advisor,,,2025-02-26T16:07:03.227689
Ariella,Vildan Young,Investor,,,2025-02-26T16:07:03.256667
Chino,Lex,2x Founder now in Texas Energy | Alum: Y Combinator & OnDeck,,,2025-02-26T16:07:03.286077
Ahmed,Boshnak,Management Consultant | Angel Investor | Serial Entrepreneur | Board Director,,,2025-02-26T16:07:03.314191
Anurupa,Sharma,Founder @ SVC Ventures | Gen AI and DeepTech leader | Angel Investor,,,2025-02-26T16:07:03.341724
Eric,Setton,Angel Investor,,,2025-02-26T16:07:03.369395
Rodrigo,Dantas,Board Member e Investidor,,,2025-02-26T16:07:03.398289
Santhi,"Analytis, Ph.D.",CTO￨Founder￨Hardware Startup Advisor￨Angel Investor,,,2025-02-26T16:07:03.428851
Edik,Lipowski,Angel Investor,,,2025-02-26T16:07:03.459898
JiaXin,Li,Partner / Angel Investor / Philanthropist /,,,2025-02-26T16:07:03.488026
Jacalyn,Thompson-Champion,Angel Investor,,,2025-02-26T16:07:03.516615
Aliza,Rosen,Building Rex ✨ | Angel Investor | Forbes 30 Under 30,,,2025-02-26T16:07:03.546170
Vivek,Dixit,"CEO | VC Operator | Board Member | Advisor | Agentic AI | Business Transformation | Program Management | Fintech & Payments Executive | Gartner, Oracle & Cognizant Alum | 2x Author",,,2025-02-26T16:07:03.574740
Hulya,Koc,"Serial Entrepreneur, Angel Investor, Philanthropist & Community Builder",,,2025-02-26T16:07:03.602868
LinkedIn,Member,Startup / Angel Investor / Media & Marketing,,,2025-02-26T16:07:03.632082
Christoph,Laut,Consultant by passion｜Angel Investor,,,2025-02-26T16:07:03.660915
Paul,Voois,"Managing Partner, Cove Fund",,,2025-02-26T16:07:03.689534
Eddy,Lee,Corporate Venturing & Startup Investments,,,2025-02-26T16:07:03.718347
Keanu,C.,Angel Investor | Venture Capitalist | Ed-Tech | HR-Tech | Fin-Tech,,,2025-02-26T16:07:03.748309
LinkedIn,Member,Investment Partner | Angel Investor | Venture Capital | Technology Startups,,,2025-02-26T16:07:03.781266
Ali,Alkhudairi,Digital Transformation Expert | Technology Architect | Angel Investor,,,2025-02-26T16:07:03.815074
Nicole,Liu,Founding Partner @ Comma3 Ventures,,,2025-02-26T16:07:03.850315
